squad,player_name,role
Melbourne Renegades,Jacob Bethell,BAT
Melbourne Renegades,Jake Fraser-McGurk,BAT
Melbourne Renegades,Jonathan Wells,BAT
Melbourne Renegades,Josh Brown,BAT
Melbourne Renegades,Mackenzie Harvey,BAT
Melbourne Renegades,Marcus Harris,BAT
Melbourne Renegades,Ollie Peake,BAT
Melbourne Renegades,Tawanda Muyeye,BAT
Melbourne Renegades,Harry Dixon,ALL-R
Melbourne Renegades,Hassan Khan,ALL-R
Melbourne Renegades,Will Sutherland,ALL-R
Melbourne Renegades,Laurie Evans,WK
Melbourne Renegades,Tim Seifert,WK
Melbourne Renegades,Adam Zampa,BOWL
Melbourne Renegades,Callum Stow,BOWL
Melbourne Renegades,Fergus O'Neill,BOWL
Melbourne Renegades,Gurinder Sandhu,BOWL
Melbourne Renegades,Kane Richardson,BOWL
Melbourne Renegades,Sam Elliott,BOWL
Melbourne Renegades,Tom Rogers,BOWL
Melbourne Renegades,Xavier Crone,BOWL
Brisbane Heat,Colin Munro,BAT
Brisbane Heat,Daniel Drew,BAT
Brisbane Heat,Marnus Labuschagne,BAT
Brisbane Heat,Matt Renshaw,BAT
Brisbane Heat,Max Bryant,BAT
Brisbane Heat,Nathan McSweeney,BAT
Brisbane Heat,Usman Khawaja,BAT
Brisbane Heat,Jack Wildermuth,ALL-R
Brisbane Heat,Jack Wood,ALL-R
Brisbane Heat,Michael Neser,ALL-R
Brisbane Heat,Paul Walter,ALL-R
Brisbane Heat,Jimmy Peirson,WK
Brisbane Heat,Tom Alsop,WK
Brisbane Heat,Tom Banton,WK
Brisbane Heat,Callum Vidler,BOWL
Brisbane Heat,Mitchell Swepson,BOWL
Brisbane Heat,Spencer Johnson,BOWL
Brisbane Heat,Tom Straker,BOWL
Brisbane Heat,Tom Whitney,BOWL
Brisbane Heat,Will Prestwidge,BOWL
Brisbane Heat,Xavier Bartlett,BOWL
Hobart Hurricanes,Caleb Jewell,BAT
Hobart Hurricanes,Charlie Wakim,BAT
Hobart Hurricanes,Macalister Wright,BAT
Hobart Hurricanes,Tim Ward,BAT
Hobart Hurricanes,Chris Jordan,ALL-R
Hobart Hurricanes,Mitchell Owen,ALL-R
Hobart Hurricanes,Nikhil Chaudhary,ALL-R
Hobart Hurricanes,Tim David,ALL-R
Hobart Hurricanes,Ben McDermott,WK
Hobart Hurricanes,Jake Doran,WK
Hobart Hurricanes,Matthew Wade,WK
Hobart Hurricanes,Cameron Gannon,BOWL
Hobart Hurricanes,Iain Carlisle,BOWL
Hobart Hurricanes,Marcus Bean,BOWL
Hobart Hurricanes,Nathan Ellis,BOWL
Hobart Hurricanes,Patrick Dooley,BOWL
Hobart Hurricanes,Peter Hatzoglou,BOWL
Hobart Hurricanes,Riley Meredith,BOWL
Sydney Sixers,James Vince,BAT
Sydney Sixers,Jordan Silk,BAT
Sydney Sixers,Kurtis Patterson,BAT
Sydney Sixers,Lachlan Hearne,BAT
Sydney Sixers,Moises Henriques,BAT
Sydney Sixers,Hayden Kerr,ALL-R
Sydney Sixers,Jack Edwards,ALL-R
Sydney Sixers,Joel Davies,ALL-R
Sydney Sixers,Josh Philippe,WK
Sydney Sixers,Lachlan Shaw,WK
Sydney Sixers,Akeal Hosein,BOWL
Sydney Sixers,Ben Dwarshuis,BOWL
Sydney Sixers,Benjamin Manenti,BOWL
Sydney Sixers,Hanno Jacobs,BOWL
Sydney Sixers,Jackson Bird,BOWL
Sydney Sixers,Jafer Chohan,BOWL
Sydney Sixers,Mitchell Perry,BOWL
Melbourne Stars,Blake Macdonald,BAT
Melbourne Stars,Campbell Kellaway,BAT
Melbourne Stars,Hilton Cartwright,BAT
Melbourne Stars,Thomas Rogers,BAT
Melbourne Stars,Dan Lawrence,ALL-R
Melbourne Stars,Glenn Maxwell,ALL-R
Melbourne Stars,Jonathan Merlo,ALL-R
Melbourne Stars,Marcus Stoinis,ALL-R
Melbourne Stars,Tom Curran,ALL-R
Melbourne Stars,Ben Duckett,WK
Melbourne Stars,Peter Handscomb,WK
Melbourne Stars,Sam Harper,WK
Melbourne Stars,Adam Milne,BOWL
Melbourne Stars,Austin Anlezark,BOWL
Melbourne Stars,Brody Couch,BOWL
Melbourne Stars,Doug Warren,BOWL
Melbourne Stars,Joel Paris,BOWL
Melbourne Stars,Mark Steketee,BOWL
Melbourne Stars,Peter Siddle,BOWL
Melbourne Stars,Usama Mir,BOWL
Adelaide Strikers,Alex Ross,BAT
Adelaide Strikers,Chris Lynn,BAT
Adelaide Strikers,D'Arcy Short,BAT
Adelaide Strikers,Jake Weatherald,BAT
Adelaide Strikers,Thomas Kelly,BAT
Adelaide Strikers,Harry Manenti,ALL-R
Adelaide Strikers,James Bazley,ALL-R
Adelaide Strikers,Jamie Overton,ALL-R
Adelaide Strikers,Liam Scott,ALL-R
Adelaide Strikers,Matthew Short,ALL-R
Adelaide Strikers,Alex Carey,WK
Adelaide Strikers,Harry Nielsen,WK
Adelaide Strikers,Ollie Pope,WK
Adelaide Strikers,Brendan Doggett,BOWL
Adelaide Strikers,Cameron Boyce,BOWL
Adelaide Strikers,Henry Thornton,BOWL
Adelaide Strikers,Jordan Buckingham,BOWL
Adelaide Strikers,Liam Haskett,BOWL
Adelaide Strikers,Lloyd Pope,BOWL
Perth Scorchers,Aaron Hardie,BAT
Perth Scorchers,Ashton Turner,BAT
Perth Scorchers,Keaton Jennings,BAT
Perth Scorchers,Nick Hobson,BAT
Perth Scorchers,Sam Fanning,BAT
Perth Scorchers,Ashton Agar,ALL-R
