squad,player_name,role
Fortune Barishal,Dawid Malan,BAT
Fortune Barishal,Mahmudullah,BAT
Fortune Barishal,Najmul Hossain Shanto,BAT
Fortune Barishal,Pathum Nissanka,BAT
Fortune Barishal,Tamim Iqbal,BAT
Fortune Barishal,Towhid Hridoy,BAT
Fortune Barishal,Faheem Ashraf,ALL-R
Fortune Barishal,Jahandad Khan,ALL-R
Fortune Barishal,James Fuller,ALL-R
Fortune Barishal,Kyle Mayers,ALL-R
Fortune Barishal,Mohammad Nabi,ALL-R
Fortune Barishal,Nayeem Hasan,ALL-R
Fortune Barishal,Mushfiqur Rahim,WK
Fortune Barishal,Pritom Kumar,WK
Fortune Barishal,Ariful Islam,BOWL
Fortune Barishal,Ebadot Hossain,BOWL
Fortune Barishal,Iqbal Hasan Emon,BOWL
Fortune Barishal,Mohammad Ali,BOWL
Fortune Barishal,Mohammad Imran Jnr,BOWL
Fortune Barishal,Nandre Burger,BOWL
Fortune Barishal,Ripon Mondol,BOWL
Fortune Barishal,Rishad Hossain,BOWL
Fortune Barishal,Shaheen Afridi,BOWL
Fortune Barishal,Shohidul Islam,BOWL
Fortune Barishal,Taijul Islam,BOWL
Fortune Barishal,Tanvir Islam,BOWL
Dhaka Capitals,Habibur Sohan,BAT
Dhaka Capitals,Jason Roy,BAT
Dhaka Capitals,Munim Shahriar,BAT
Dhaka Capitals,Rahmat Ali,BAT
Dhaka Capitals,Riaz Hassan,BAT
Dhaka Capitals,Sabbir Rahman,BAT
Dhaka Capitals,Shahadat Hossain,BAT
Dhaka Capitals,Tanzid Hasan,BAT
Dhaka Capitals,Farmanullah Safi,ALL-R
Dhaka Capitals,Shubham Ranjane,ALL-R
Dhaka Capitals,Thisara Perera,ALL-R
Dhaka Capitals,Johnson Charles,WK
Dhaka Capitals,JP Kotze,WK
Dhaka Capitals,Litton Das,WK
Dhaka Capitals,Stephen Eskinazi,WK
Dhaka Capitals,Abu Jayed,BOWL
Dhaka Capitals,Alauddin Babu,BOWL
Dhaka Capitals,Amir Hamza Hotak,BOWL
Dhaka Capitals,Asif Hasan,BOWL
Dhaka Capitals,Chaturanga de Silva,BOWL
Dhaka Capitals,Mehedi Hasan Rana,BOWL
Dhaka Capitals,Mosaddek Hossain,BOWL
Dhaka Capitals,Mukidul Islam,BOWL
Dhaka Capitals,Musfik Hasan,BOWL
Dhaka Capitals,Mustafizur Rahman,BOWL
Dhaka Capitals,Nazmul Islam,BOWL
Dhaka Capitals,Ronsford Beaton,BOWL
Dhaka Capitals,Shahnawaz Dahani,BOWL
Dhaka Capitals,Zahoor Khan,BOWL
Chittagong Kings,Graham Clark,BAT
Chittagong Kings,Haider Ali,BAT
Chittagong Kings,Marshall Ayub,BAT
Chittagong Kings,Naeem Islam,BAT
Chittagong Kings,Parvez Hossain Emon,BAT
Chittagong Kings,Shamim Hossain,BAT
Chittagong Kings,Zubaid Akbari,BAT
Chittagong Kings,Angelo Mathews,ALL-R
Chittagong Kings,Hussain Talat,ALL-R
Chittagong Kings,Moeen Ali,ALL-R
Chittagong Kings,Rahatul Ferdous,ALL-R
Chittagong Kings,Shakib Al Hasan,ALL-R
Chittagong Kings,Shuvagata Hom,ALL-R
Chittagong Kings,Tom O'Connell,ALL-R
Chittagong Kings,Khawaja Nafay,WK
Chittagong Kings,Lahiru Milantha,WK
Chittagong Kings,Mohammad Mithun,WK
Chittagong Kings,Usman Khan,WK
Chittagong Kings,Aliss Al Islam,BOWL
Chittagong Kings,Arafat Sunny,BOWL
Chittagong Kings,Binura Fernando,BOWL
Chittagong Kings,Irfan Hossain,BOWL
Chittagong Kings,Khaled Ahmed,BOWL
Chittagong Kings,Maruf Mridha,BOWL
Chittagong Kings,Mohammad Wasim,BOWL
Chittagong Kings,Nabil Samad,BOWL
Chittagong Kings,Sheikh Parvez Jibon,BOWL
Chittagong Kings,Shoriful Islam,BOWL
Durbar Rajshahi,Anamul Haque,BAT
Durbar Rajshahi,MD Mizanur Rahman,BAT
Durbar Rajshahi,Yasir Ali,BAT
Durbar Rajshahi,Arafat Minhas,ALL-R
Durbar Rajshahi,Jishan Alam,ALL-R
Durbar Rajshahi,Lahiru Samarakoon,ALL-R
Durbar Rajshahi,Mark Deyal,ALL-R
Durbar Rajshahi,Ryan Burl,ALL-R
Durbar Rajshahi,Saad Nasim,ALL-R
Durbar Rajshahi,Sabbir Hossain,ALL-R
Durbar Rajshahi,SM Meherob,ALL-R
Durbar Rajshahi,Sohag Gazi,ALL-R
Durbar Rajshahi,Akbar Ali,WK
Durbar Rajshahi,Mohammad Haris,WK
Durbar Rajshahi,Zahiduzzaman,WK
Durbar Rajshahi,Aftab Alam,BOWL
Durbar Rajshahi,Asaduzzaman Payel,BOWL
Durbar Rajshahi,Bilal Khan,BOWL
Durbar Rajshahi,Hasan Murad,BOWL
Durbar Rajshahi,Miguel Cummins,BOWL
Durbar Rajshahi,Mohor Sheikh,BOWL
Durbar Rajshahi,Mrittunjoy Chowdhury,BOWL
Durbar Rajshahi,Nathan Edward,BOWL
Durbar Rajshahi,Salman Mirza,BOWL
Durbar Rajshahi,Shafiul Islam,BOWL
Durbar Rajshahi,Sunzamul Islam,BOWL
Durbar Rajshahi,Taskin Ahmed,BOWL
Khulna Tigers,Afif Hossain,BAT
Khulna Tigers,Alex Ross,BAT
Khulna Tigers,Darwish Rasooli,BAT
Khulna Tigers,Dominic Sibley,BAT
Khulna Tigers,Ibrahim Zadran,BAT
Khulna Tigers,Mahmudul Hasan Joy,BAT
Khulna Tigers,Mohammad Naim,BAT
Khulna Tigers,Shimron Hetmyer,BAT
Khulna Tigers,William Bosisto,BAT
Khulna Tigers,Aamer Jamal,ALL-R
Khulna Tigers,Jason Holder,ALL-R
Khulna Tigers,Lewis Gregory,ALL-R
Khulna Tigers,Mahfuzur Rahman Rabby,ALL-R
Khulna Tigers,Mehidy Hasan,ALL-R
Khulna Tigers,Mohammad Nawaz,ALL-R
Khulna Tigers,Ziaur Rahman,ALL-R
Khulna Tigers,Imrul Kayes,WK
Khulna Tigers,Mahidul Islam Ankon,WK
Khulna Tigers,Abu Hider,BOWL
Khulna Tigers,Hasan Mahmud,BOWL
Khulna Tigers,Mohammad Hasnain,BOWL
Khulna Tigers,Musfik Hasan,BOWL
Khulna Tigers,Nasum Ahmed,BOWL
Khulna Tigers,Oshane Thomas,BOWL
Khulna Tigers,Rubel Hossain,BOWL
Khulna Tigers,Salman Irshad,BOWL
Rangpur Riders,Alex Hales,BAT
Rangpur Riders,Azizul Hakim Tamim,BAT
Rangpur Riders,James Vince,BAT
Rangpur Riders,Saif Hassan,BAT
Rangpur Riders,Sediqullah Atal,BAT
Rangpur Riders,Soumya Sarkar,BAT
Rangpur Riders,Steven Taylor,BAT
Rangpur Riders,Tawfique Khan,BAT
Rangpur Riders,Tim David,BAT
Rangpur Riders,Andre Russell,ALL-R
Rangpur Riders,Curtis Campher,ALL-R
Rangpur Riders,Iftikhar Ahmed,ALL-R
Rangpur Riders,Khushdil Shah,ALL-R
Rangpur Riders,Mahedi Hasan,ALL-R
Rangpur Riders,Irfan Sukkur,WK
Rangpur Riders,Nurul Hasan,WK
Rangpur Riders,Akif Javed,BOWL
Rangpur Riders,AM Ghazanfar,BOWL
Rangpur Riders,Kamrul Islam,BOWL
Rangpur Riders,Mohammad Saifuddin,BOWL
Rangpur Riders,Nahid Rana,BOWL
Rangpur Riders,Rakibul Hasan,BOWL
Rangpur Riders,Rejaur Rahman,BOWL
Rangpur Riders,Saurabh Netravalkar,BOWL
Sylhet Strikers,Aaron Jones,BAT
Sylhet Strikers,Ariful Haque,BAT
Sylhet Strikers,Paul Stirling,BAT
Sylhet Strikers,Sajjadul Haque,BAT
Sylhet Strikers,Zawad Abrar,BAT
Sylhet Strikers,Kadeem Alleyne,ALL-R
Sylhet Strikers,Samiullah Shinwari,ALL-R
Sylhet Strikers,George Munsey,WK
Sylhet Strikers,Jaker Ali,WK
Sylhet Strikers,Rony Talukdar,WK
Sylhet Strikers,Zakir Hasan,WK
Sylhet Strikers,Ahsan Bhatti,BOWL
Sylhet Strikers,Al-Amin Hossain,BOWL
Sylhet Strikers,Jon-Russ Jaggesar,BOWL
Sylhet Strikers,Mashrafe Mortaza,BOWL
Sylhet Strikers,Mehedi Sohag,BOWL
Sylhet Strikers,Mohammad Nihaduzzaman,BOWL
Sylhet Strikers,Nahidul Islam,BOWL
Sylhet Strikers,Ruyel Miah,BOWL
Sylhet Strikers,Sumon Khan,BOWL
Sylhet Strikers,Tanzim Hasan Sakib,BOWL
Sylhet Strikers,Tipu Sultan,BOWL
