squad,player_name,role
Gulf Giants,Adam Lyth,BAT
Gulf Giants,Ibrahim Zadran,BAT
Gulf Giants,James Vince,BAT
Gulf Giants,Shimron Hetmyer,BAT
Gulf Giants,Tim David,BAT
Gulf Giants,Aayan Khan,ALL-R
Gulf Giants,Dipendra Singh Airee,ALL-R
Gulf Giants,Dominic Drakes,ALL-R
Gulf Giants,Gerhard Erasmus,ALL-R
Gulf Giants,Mark Adair,ALL-R
Gulf Giants,Saghir Khan,ALL-R
Gulf Giants,Tom Curran,ALL-R
Gulf Giants,Jordan Cox,WK
Gulf Giants,Ollie Robinson,WK
Gulf Giants,Tom Alsop,WK
Gulf Giants,Blessing Muzarabani,BOWL
Gulf Giants,Chris Jordan,BOWL
Gulf Giants,Daniel Worrall,BOWL
Gulf Giants,Dushan Hemantha,BOWL
Gulf Giants,Muhammad Zuhaib,BOWL
Gulf Giants,Tymal Mills,BOWL
Gulf Giants,Uzair Khan,BOWL
Gulf Giants,Wahidullah Zadran,BOWL
Dubai Capitals,Brandon McMullen,BAT
Dubai Capitals,Dasun Shanaka,BAT
Dubai Capitals,David Warner,BAT
Dubai Capitals,Jake Fraser-McGurk,BAT
Dubai Capitals,Joe Burns,BAT
Dubai Capitals,Khalid Shah,BAT
Dubai Capitals,Najibullah Zadran,BAT
Dubai Capitals,Rovman Powell,BAT
Dubai Capitals,Shahrukh Ahmed,BAT
Dubai Capitals,Gulbadin Naib,ALL-R
Dubai Capitals,Scott Kuggeleijn,ALL-R
Dubai Capitals,Sikandar Raza,ALL-R
Dubai Capitals,Adam Rossington,WK
Dubai Capitals,Ben Dunk,WK
Dubai Capitals,Sam Billings,WK
Dubai Capitals,Shai Hope,WK
Dubai Capitals,Akif Raja,BOWL
Dubai Capitals,Aryaman Varma,BOWL
Dubai Capitals,Dushmantha Chameera,BOWL
Dubai Capitals,Farhan Khan,BOWL
Dubai Capitals,Garuka Sanketh,BOWL
Dubai Capitals,Haider Ali,BOWL
Dubai Capitals,Obed McCoy,BOWL
Dubai Capitals,Olly Stone,BOWL
Dubai Capitals,Qais Ahmad,BOWL
Dubai Capitals,Sharafuddin Ashraf,BOWL
Dubai Capitals,Zahir Khan,BOWL
Dubai Capitals,Zeeshan Naseer,BOWL
Abu Dhabi Knight Riders,Alishan Sharafu,BAT
Abu Dhabi Knight Riders,Laurie Evans,BAT
Abu Dhabi Knight Riders,Andre Russell,ALL-R
Abu Dhabi Knight Riders,Basil Hameed,ALL-R
Abu Dhabi Knight Riders,David Willey,ALL-R
Abu Dhabi Knight Riders,Jason Holder,ALL-R
Abu Dhabi Knight Riders,Kyle Mayers,ALL-R
Abu Dhabi Knight Riders,Roston Chase,ALL-R
Abu Dhabi Knight Riders,Sunil Narine,ALL-R
Abu Dhabi Knight Riders,Andries Gous,WK
Abu Dhabi Knight Riders,Joe Clarke,WK
Abu Dhabi Knight Riders,Michael Pepper,WK
Abu Dhabi Knight Riders,Adhitya Shetty,BOWL
Abu Dhabi Knight Riders,Ali Khan,BOWL
Abu Dhabi Knight Riders,Gudakesh Motie,BOWL
Abu Dhabi Knight Riders,Ibrar Ahmed,BOWL
Abu Dhabi Knight Riders,Terrance Hinds,BOWL
