squad,player_name,role
Los Angeles Knight Riders,Alex Hales,BAT
Los Angeles Knight Riders,Nitish Kumar,BAT
Los Angeles Knight Riders,Rovman Powell,BAT
Los Angeles Knight Riders,Saif Badar,BAT
Los Angeles Knight Riders,Sherfane Rutherford,BAT
Los Angeles Knight Riders,Andre Russell,ALL-R
Los Angeles Knight Riders,Dominic Drakes,ALL-R
Los Angeles Knight Riders,Jason Holder,ALL-R
Los Angeles Knight Riders,Karthik Gattepalli,ALL-R
Los Angeles Knight Riders,Sunil Narine,ALL-R
Los Angeles Knight Riders,Adithya Ganesh,WK
Los Angeles Knight Riders,Andre Fletcher,WK
Los Angeles Knight Riders,Unmukt Chand,WK
Los Angeles Knight Riders,Ali Khan,BOWL
Los Angeles Knight Riders,Anrich Nortje,BOWL
Los Angeles Knight Riders,Corne Dry,BOWL
Los Angeles Knight Riders,Matthew Tromp,BOWL
Los Angeles Knight Riders,Shadley van Schalkwyk,BOWL
Los Angeles Knight Riders,Spencer Johnson,BOWL
Los Angeles Knight Riders,Tanveer Sangha,BOWL
MI New York,Agni Chopra,BAT
MI New York,Heath Richards,BAT
MI New York,Kieron Pollard,BAT
MI New York,Monank Patel,BAT
MI New York,Sharad Lumba,BAT
MI New York,Azmatullah Omarzai,ALL-R
MI New York,Delano Potgieter,ALL-R
MI New York,George Linde,ALL-R
MI New York,Kunwarjeet Singh,ALL-R
MI New York,Michael Bracewell,ALL-R
MI New York,Sunny Patel,ALL-R
MI New York,Tajinder Singh,ALL-R
MI New York,Nicholas Pooran,WK
MI New York,Quinton de Kock,WK
MI New York,Ehsan Adil,BOWL
MI New York,Naveen-ul-Haq,BOWL
MI New York,Nosthush Kenjige,BOWL
MI New York,Rashid Khan,BOWL
MI New York,Rushil Ugarkar,BOWL
MI New York,Trent Boult,BOWL
MI New York,Tristan Luus,BOWL
San Francisco Unicorns,Cooper Connolly,BAT
San Francisco Unicorns,Hammad Azam,BAT
San Francisco Unicorns,Jake Fraser-McGurk,BAT
San Francisco Unicorns,Matt Renshaw,BAT
San Francisco Unicorns,Sanjay Krishnamurthi,BAT
San Francisco Unicorns,Achilles Browne,ALL-R
San Francisco Unicorns,Hassan Khan,ALL-R
San Francisco Unicorns,Karima Gore,ALL-R
San Francisco Unicorns,Matthew Short,ALL-R
San Francisco Unicorns,Romario Shepherd,ALL-R
San Francisco Unicorns,Finn Allen,WK
San Francisco Unicorns,Jahmar Hamilton,WK
San Francisco Unicorns,Tim Seifert,WK
San Francisco Unicorns,Brody Couch,BOWL
San Francisco Unicorns,Callum Stow,BOWL
San Francisco Unicorns,Carmi le Roux,BOWL
San Francisco Unicorns,Haris Rauf,BOWL
San Francisco Unicorns,Juanoy Drysdale,BOWL
San Francisco Unicorns,Liam Plunkett,BOWL
San Francisco Unicorns,Xavier Bartlett,BOWL
Seattle Orcas,Aaron Jones,BAT
Seattle Orcas,David Warner,BAT
Seattle Orcas,Josh Brown,BAT
Seattle Orcas,Shimron Hetmyer,BAT
Seattle Orcas,Steven Taylor,BAT
Seattle Orcas,Cameron Gannon,ALL-R
Seattle Orcas,Harmeet Singh,ALL-R
Seattle Orcas,Kyle Mayers,ALL-R
Seattle Orcas,Sikandar Raza,ALL-R
Seattle Orcas,Sujit Nayak,ALL-R
Seattle Orcas,Heinrich Klaasen,WK
Seattle Orcas,Rahul Jariwala,WK
Seattle Orcas,Shayan Jahangir,WK
Seattle Orcas,Ali Sheikh,BOWL
Seattle Orcas,Ayan Desai,BOWL
Seattle Orcas,Gerald Coetzee,BOWL
Seattle Orcas,Jasdeep Singh,BOWL
Seattle Orcas,Obed McCoy,BOWL
Seattle Orcas,Waqar Salamkheil,BOWL
Washington Freedom,Mark Chapman,BAT
Washington Freedom,Mukhtar Ahmed,BAT
Washington Freedom,Obus Pienaar,BAT
Washington Freedom,Glenn Maxwell,ALL-R
Washington Freedom,Glenn Phillips,ALL-R
Washington Freedom,Ian Holland,ALL-R
Washington Freedom,Jack Edwards,ALL-R
Washington Freedom,Mark Adair,ALL-R
Washington Freedom,Mitchell Owen,ALL-R
Washington Freedom,Rachin Ravindra,ALL-R
Washington Freedom,Andries Gous,WK
Washington Freedom,Lahiru Milantha,WK
Washington Freedom,Abhishek Paradkar,BOWL
Washington Freedom,Amila Aponso,BOWL
Washington Freedom,Ben Sears,BOWL
Washington Freedom,Justin Dill,BOWL
Washington Freedom,Lockie Ferguson,BOWL
Washington Freedom,Matthew Forde,BOWL
Washington Freedom,Saurabh Netravalkar,BOWL
Washington Freedom,Yasir Mohammad,BOWL
Texas Super Kings,Faf du Plessis,BAT
Texas Super Kings,Joshua Tromp,BAT
Texas Super Kings,Milind Kumar,BAT
Texas Super Kings,Mitchell Marsh,BAT
Texas Super Kings,Saiteja Mukkamalla,BAT
Texas Super Kings,Calvin Savage,ALL-R
Texas Super Kings,Daryl Mitchell,ALL-R
Texas Super Kings,Donovan Ferreira,ALL-R
Texas Super Kings,Marcus Stoinis,ALL-R
Texas Super Kings,Shubham Ranjane,ALL-R
Texas Super Kings,Devon Conway,WK
Texas Super Kings,Smit Patel,WK
Texas Super Kings,Adam Khan,BOWL
Texas Super Kings,Adam Milne,BOWL
Texas Super Kings,Akeal Hosein,BOWL
Texas Super Kings,Mohammad Mohsin,BOWL
Texas Super Kings,Nandre Burger,BOWL
Texas Super Kings,Noor Ahmad,BOWL
Texas Super Kings,Stephen Wiig,BOWL
Texas Super Kings,Zia-ul-Haq,BOWL
