squad,player_name,role
Lahore Qalandars,Abdullah Shafique,BAT
Lahore Qalandars,Asif Ali,BAT
Lahore Qalandars,Bhanuka Rajapaksa,BAT
Lahore Qalandars,Daryl Mitchell,BAT
Lahore Qalandars,Fakhar Zaman,BAT
Lahore Qalandars,Muhammad Naeem,BAT
Lahore Qalandars,David Wiese,ALL-R
Lahore Qalandars,Jahandad Khan,ALL-R
Lahore Qalandars,Mehidy Hasan Miraz,ALL-R
Lahore Qalandars,Rishad Hossain,ALL-R
Lahore Qalandars,Shakib Al Hasan,ALL-R
Lahore Qalandars,Sikandar Raza,ALL-R
Lahore Qalandars,Tom Curran,ALL-R
Lahore Qalandars,Kusal Perera,WK
Lahore Qalandars,Muhammad Akhlaq,WK
Lahore Qalandars,Sam Billings,WK
Lahore Qalandars,Asif Afridi,BOWL
Lahore Qalandars,Haris Rauf,BOWL
Lahore Qalandars,Mohammad Azab,BOWL
Lahore Qalandars,Momin Qamar,BOWL
Lahore Qalandars,Salman Mirza,BOWL
Lahore Qalandars,Shaheen Afridi,BOWL
Lahore Qalandars,Zaman Khan,BOWL
Quetta Gladiators,Hasan Nawaz,BAT
Quetta Gladiators,Khawaja Nafay,BAT
Quetta Gladiators,Mark Chapman,BAT
Quetta Gladiators,Rilee Rossouw,BAT
Quetta Gladiators,Saud Shakeel,BAT
Quetta Gladiators,Akeal Hosein,ALL-R
Quetta Gladiators,Danish Aziz,ALL-R
Quetta Gladiators,Faheem Ashraf,ALL-R
Quetta Gladiators,Shoaib Malik,ALL-R
Quetta Gladiators,Umar Lohya,ALL-R
Quetta Gladiators,Avishka Fernando,WK
Quetta Gladiators,Dinesh Chandimal,WK
Quetta Gladiators,Finn Allen,WK
Quetta Gladiators,Haseebullah Khan,WK
Quetta Gladiators,Kusal Mendis,WK
Quetta Gladiators,Abrar Ahmed,BOWL
Quetta Gladiators,Ali Majid,BOWL
Quetta Gladiators,Khurram Shahzad,BOWL
Quetta Gladiators,Kyle Jamieson,BOWL
Quetta Gladiators,Mohammad Amir,BOWL
Quetta Gladiators,Mohammad Wasim,BOWL
Quetta Gladiators,Mohammad Zeeshan,BOWL
Quetta Gladiators,Sean Abbott,BOWL
Quetta Gladiators,Usman Tariq,BOWL
Multan Sultans,Ashton Turner,BAT
Multan Sultans,Hamayun Altaf,BAT
Multan Sultans,Jahanzaib Sultan,BAT
Multan Sultans,Kamran Ghulam,BAT
Multan Sultans,Muhammad Amir Barki,BAT
Multan Sultans,Tayyab Tahir,BAT
Multan Sultans,Yasir Khan,BAT
Multan Sultans,Curtis Campher,ALL-R
Multan Sultans,David Willey,ALL-R
Multan Sultans,Iftikhar Ahmed,ALL-R
Multan Sultans,Michael Bracewell,ALL-R
Multan Sultans,Shahid Aziz,ALL-R
Multan Sultans,Mohammad Rizwan,WK
Multan Sultans,Shai Hope,WK
Multan Sultans,Usman Khan,WK
Multan Sultans,Akif Javed,BOWL
Multan Sultans,Chris Jordan,BOWL
Multan Sultans,Dilshan Madushanka,BOWL
Multan Sultans,Faisal Akram,BOWL
Multan Sultans,Josh Little,BOWL
Multan Sultans,Muhammad Hasnain,BOWL
Multan Sultans,Peter Hatzoglou,BOWL
Multan Sultans,Ubaid Shah,BOWL
Multan Sultans,Usama Mir,BOWL
Peshawar Zalmi,Abdul Samad,BAT
Peshawar Zalmi,Babar Azam,BAT
Peshawar Zalmi,Max Bryant,BAT
Peshawar Zalmi,Najibullah Zadran,BAT
Peshawar Zalmi,Saim Ayub,BAT
Peshawar Zalmi,Daniel Sams,ALL-R
Peshawar Zalmi,George Linde,ALL-R
Peshawar Zalmi,Hussain Talat,ALL-R
Peshawar Zalmi,Maaz Sadaqat,ALL-R
Peshawar Zalmi,Mitchell Owen,ALL-R
Peshawar Zalmi,Mohammad Haris,WK
Peshawar Zalmi,Tom Kohler-Cadmore,WK
Peshawar Zalmi,Ahmed Daniyal,BOWL
Peshawar Zalmi,Ali Raza,BOWL
Peshawar Zalmi,Alzarri Joseph,BOWL
Peshawar Zalmi,Arif Yaqoob,BOWL
Peshawar Zalmi,Ihsanullah,BOWL
Peshawar Zalmi,Luke Wood,BOWL
Peshawar Zalmi,Mehran Mumtaz,BOWL
Peshawar Zalmi,Mohammad Ali,BOWL
Peshawar Zalmi,Sufiyan Muqeem,BOWL
Islamabad United,Alex Hales,BAT
Islamabad United,Colin Munro,BAT
Islamabad United,Haider Ali,BAT
