squad,player_name,role
Paarl Royals,David Miller,BAT
Paarl Royals,Dewan Marais,BAT
Paarl Royals,Mitchell Van Buuren,BAT
Paarl Royals,Sam Hain,BAT
Paarl Royals,Andile Phehlukwayo,ALL-R
Paarl Royals,Dayyaan Galiem,ALL-R
Paarl Royals,Keith Dudgeon,ALL-R
Paarl Royals,Mitchell Owen,ALL-R
Paarl Royals,Dinesh Karthik,WK
Paarl Royals,Lhuan-dre Pretorius,WK
Paarl Royals,Rubin Hermann,WK
Paarl Royals,Bjorn Fortuin,BOWL
Paarl Royals,Codi Yusuf,BOWL
Paarl Royals,Dunith Wellalage,BOWL
Paarl Royals,Eshan Malinga,BOWL
Paarl Royals,Kwena Maphaka,BOWL
Paarl Royals,Lungi Ngidi,BOWL
Paarl Royals,Mujeeb Ur Rahman,BOWL
Paarl Royals,Nqabayomzi Peter,BOWL
Pretoria Capitals,Ashton Turner,BAT
Pretoria Capitals,Marques Ackerman,BAT
Pretoria Capitals,Rilee Rossouw,BAT
Pretoria Capitals,Steve Stolk,BAT
Pretoria Capitals,Will Smeed,BAT
Pretoria Capitals,James Neesham,ALL-R
Pretoria Capitals,Senuran Muthusamy,ALL-R
Pretoria Capitals,Will Jacks,ALL-R
Pretoria Capitals,Keagan Lion-Cachet,WK
Pretoria Capitals,Kyle Verreynne,WK
Pretoria Capitals,Rahmanullah Gurbaz,WK
Pretoria Capitals,Eathan Bosch,BOWL
Pretoria Capitals,Gideon Peters,BOWL
Pretoria Capitals,Jason Behrendorff,BOWL
Pretoria Capitals,Kyle Simmonds,BOWL
Pretoria Capitals,Matthew Boast,BOWL
Pretoria Capitals,Migael Pretorius,BOWL
Pretoria Capitals,Tiaan van Vuuren,BOWL
Pretoria Capitals,Tom Rogers,BOWL
Sunrisers Eastern Cape,David Bedingham,BAT
Sunrisers Eastern Cape,Jordan Hermann,BAT
Sunrisers Eastern Cape,Tom Abell,BAT
Sunrisers Eastern Cape,Tony de Zorzi,BAT
Sunrisers Eastern Cape,Zak Crawley,BAT
Sunrisers Eastern Cape,Aiden Markram,ALL-R
Sunrisers Eastern Cape,Beyers Swanepoel,ALL-R
Sunrisers Eastern Cape,Liam Dawson,ALL-R
Sunrisers Eastern Cape,Marco Jansen,ALL-R
Sunrisers Eastern Cape,Daniel Smith,WK
Sunrisers Eastern Cape,Tristan Stubbs,WK
Sunrisers Eastern Cape,Andile Simelane,BOWL
Sunrisers Eastern Cape,Caleb Seleka,BOWL
Sunrisers Eastern Cape,Craig Overton,BOWL
Sunrisers Eastern Cape,Okuhle Cele,BOWL
Sunrisers Eastern Cape,Ottneil Baartman,BOWL
Sunrisers Eastern Cape,Richard Gleeson,BOWL
Sunrisers Eastern Cape,Roelof van der Merwe,BOWL
Sunrisers Eastern Cape,Simon Harmer,BOWL
MI Cape Town,Colin Ingram,BAT
MI Cape Town,Rassie van der Dussen,BAT
MI Cape Town,Reeza Hendricks,BAT
MI Cape Town,Sediqullah Atal,BAT
MI Cape Town,Azmatullah Omarzai,ALL-R
MI Cape Town,Corbin Bosch,ALL-R
MI Cape Town,Delano Potgieter,ALL-R
MI Cape Town,Dewald Brevis,ALL-R
MI Cape Town,George Linde,ALL-R
MI Cape Town,Thomas Kaber,ALL-R
MI Cape Town,Chris Benjamin,WK
MI Cape Town,Connor Esterhuizen,WK
MI Cape Town,Ryan Rickelton,WK
MI Cape Town,Dane Piedt,BOWL
MI Cape Town,Kagiso Rabada,BOWL
MI Cape Town,Matthew Potts,BOWL
MI Cape Town,Nuwan Thushara,BOWL
MI Cape Town,Rashid Khan,BOWL
MI Cape Town,Trent Boult,BOWL
MI Cape Town,Tristan Luus,BOWL
Joburg Super Kings,Faf du Plessis,BAT
Joburg Super Kings,Leus du Plooy,BAT
Joburg Super Kings,Sibonelo Makhanya,BAT
Joburg Super Kings,Wihan Lubbe,BAT
Joburg Super Kings,Donovan Ferreira,ALL-R
Joburg Super Kings,Doug Bracewell,ALL-R
Joburg Super Kings,Evan Jones,ALL-R
Joburg Super Kings,JP King,ALL-R
Joburg Super Kings,Moeen Ali,ALL-R
Joburg Super Kings,Devon Conway,WK
Joburg Super Kings,Jonny Bairstow,WK
Joburg Super Kings,Hardus Viljoen,BOWL
Joburg Super Kings,Imran Tahir,BOWL
Joburg Super Kings,Lutho Sipamla,BOWL
Joburg Super Kings,Maheesh Theekshana,BOWL
Joburg Super Kings,Matheesha Pathirana,BOWL
Joburg Super Kings,Tabraiz Shamsi,BOWL
Joburg Super Kings,Tshepo Moreki,BOWL
Durban's Super Giants,Brandon King,BAT
Durban's Super Giants,Bryce Parsons,BAT
Durban's Super Giants,Jason Smith,BAT
Durban's Super Giants,Kane Williamson,BAT
Durban's Super Giants,Matthew Breetzke,BAT
Durban's Super Giants,Chris Woakes,ALL-R
Durban's Super Giants,Dwaine Pretorius,ALL-R
Durban's Super Giants,JJ Smuts,ALL-R
Durban's Super Giants,Marcus Stoinis,ALL-R
Durban's Super Giants,Prenelan Subrayen,ALL-R
Durban's Super Giants,Wiaan Mulder,ALL-R
Durban's Super Giants,Heinrich Klaasen,WK
Durban's Super Giants,Quinton de Kock,WK
Durban's Super Giants,Christopher King,BOWL
Durban's Super Giants,Junior Dala,BOWL
Durban's Super Giants,Keshav Maharaj,BOWL
Durban's Super Giants,Naveen-ul-Haq,BOWL
Durban's Super Giants,Noor Ahmad,BOWL
Durban's Super Giants,Shamar Joseph,BOWL
